hotel_name,fixed_price,recomendation,jr_station
HATAGO INN Shizuoka Yoshida IC,1787.5,8.8,Shizuoka
AB Hotel Nara,1356,8,Nara
Comfort Hotel ERA Kobe Sannomiya,5084,8.4,Kobe
APA Hotel Sugamo Ekimae,6142,8.5,Tokyo
Yudaonsen Ubl Hotel Matsumasa,3391,8.4,Yamaguchi
Daiwa Roynet Hotel Hiroshima,4741,8.3,Hiroshima
Fujieda Park Inn Hotel,1488,7.8,Shizuoka
Hotel Bamboo Garden Shinyokohama,2606,7.7,Yokohama
2023Tokyo Plaza Hotel,2326,7.8,Shinjuku
IROHA GRAND HOTEL Kintetsu-Nara,5401,9,Nara
Piazza Hotel Nara,3309,8.8,Nara
Nest Hotel Osaka Shinsaibashi,1000,7.9,Osaka
IZU 4 SEA BEACH HOTEL,5364,8.3,Shizuoka
GuestHouse AZMO - Vacation STAY 84356v,1972,8.7,Matsue
Hotel Abant Shizuoka,2428.5,7.7,Shizuoka
Nest Hotel Hiroshima Hatchobori,10913,8.3,Hiroshima
Seto Ohashi Onsen Yamakou,1796,7.6,Okayama
Onyado Nono Matsue Hot Spring,2999,8.9,Matsue
Mihokan,2659,6.8,Matsue
JR-EAST HOTEL METS OMORI,3387,9,Tokyo
APA Hotel Osaka-Higobashi-Ekimae,7252,7.9,Osaka
Hotel Monte Hermana Kobe Amalie,2160,8.5,Kobe
Wakayama Green Hotel,1816,6.6,Wakayama
APA Hotel Namba-Eki Higashi,5393,8.5,Osaka
Smile Hotel Wakayama,1564,7.5,Wakayama
Kobe Minato Onsen Ren - Adult Only,5999,8.9,Kobe
THE POCKET HOTEL Kyoto-Karasumagojo - Private Rooms,3976,9,Kyoto
Urban Life Matsuda - Vacation STAY 85183,10784,8.2,Okayama
Solaria Nishitetsu Hotel Kyoto Premier,4961,9,Kyoto
HOTEL ANTEROOM KAKEGAWA,1967.5,8.5,Shizuoka
Hotel Lotus Chiba -Adult Only,1734,7.1,Chiba
,,,Matsue
Sotetsu Fresa Inn Kyoto-Kiyomizu Gojo,5805,9,Kyoto
Tabist HotelNakajima Fuji,1949,6.9,Fuji
HOTEL UNIZO Yokohamaeki-West,5674,8.5,Yokohama
Hotel AreaOne Sakaiminato Marina - Vacation STAY 81704v,1775,6.8,Yonago
Matsue Forest Park,2161,8.8,Matsue
APA Hotel Namba Minami Ebisucho Eki Shinsekai,3585,8.9,Osaka
HOTEL MYSTAYS Shimizu,3721,8.2,Shizuoka
The QUBE Hotel Chiba - Vacation STAY 02241v,4419,8.5,Chiba
Kobe Meriken Park Oriental Hotel),9465,8.6,Kobe
Yaizu City Hotel,1905,7.8,Shizuoka
Hotel 24 NISHI IN Fujisan,2339,7.9,Fuji
Valentine (Adult Only),1029,8.2,Tottori
Suikoen,1715,7.2,Yonago
Manpa Resort,8541,8.8,Wakayama
Toyoko Inn Okayama-eki Nishiguchi Hiroba,1868,7.9,Okayama
Hotel Monterey Kobe,7939,8.5,Kobe
Guest House Tatara - Vacation STAY 61943v,1755,8.2,Yonago
Bon Condominium Namba Ebisu,2222,8.6,Osaka
APA Hotel Asakusa Kaminarimon,5849,8.8,Tokyo
Hotel Sardonyx Ueno,2827,8.6,Tokyo
APA Hotel Asakusa Kaminarimon Minami,2409,8.8,Tokyo
Fujieda House,1582,9,Shizuoka
Natural Hot Spring Hotel LiVEMAX PREMIUM HIROSHIMA,7927,7.7,Hiroshima
2023Sotetsu Fresa Inn Higashi Shinjuku,2962,8.3,Shinjuku
Tottori Guest House Miraie BASE - Vacation STAY 41221v,2807,7.4,Tottori
